path,label,text
audios/huấn hoa hồng chửi nhân viên viettel.mp3,1,anh nói để mẹ mày biết ta đi rút có mấy trăm triệu bạc và chúng mày hành hạ từ cả buổi chiều giờ ta còn phải đi làm đi mẹ đi rút suốt từ buổi chiều chuyện cước đất cả cái việc theo phủ cặn có mấy trăm triệu không có lần đi đi phụ tiện hay quỵ nguồn nì mẹ bắt tôi chờ năm phút năm phút bây giờ mẹ chờ mấy tiếng rồi bọn em muốn sáng nhất đúng không bọn em phá muốn sáng nhất facebook đúng không được rồi thì mẹ rút cho bốn trăm triệu vắt tên rút lên mấy chỗ xong này anh không cảm thấy anh không báo trước không báo trước anh cho anh biết ở đâu báo trước anh gửi tiền trên kia về thì nó bảo là ra đây mà lấy ra đây đấy ví dụ anh hà sau anh lưu ý ví dụ anh gửi ở đâu anh bạ anh báo họ ở đấy là có sơ tiếp xuống đây đấy cả cái biệt thự cao tướng nhưng mấy trăm triệu không có thì làm ăn cái gì thì việc là anh chuẩn bị trước trong khoảng ba phút sau hoặc một tiếng sau anh ra có tiền luôn thì phải tiện lợi bây giờ rút đi hai trên để chuyển bên kianh ga hayạ nhiều tiền quá nhiều tiền quá nên em dành đi gom cho anh anh có bao nhiêu việc cả buổi chiều ông ấy lại bắt anh ở đây chờ em ý anh hiểu thôi cứ về bùi cảm thế này đủ tiền rồi chờ tí về bán cho anh số này của anh chưa thành chứ chủ.
audios/Liên hoàn chửi của Độ Mixi.mp3,1,mèo ngất đẩy ra bờ sấy xe chưa bao giờ nằm xuống cả mèo ngất đã nằm xuống địt mẹ sấy xe của mèo ngất khiến cho chúng  lồn vậy thôi thế giờ phải vào bằng tay à mẹ sợ nếu cho vào ấy à đấy nó cho vào luôn tâm lý như vậy là chúng ta sẽ trở lại với trận đấu đang rất hấp dẫn và không biết là số phận của dịp còn mẽ mày rồi như vậy là chúng ta sẽ trở lại với trận đấu và không biết được là dịp mẽ mày sao vậy nhở đéo hiểu nổi ok rồi chúng ta sẽ trở lại với trận đấu và không biết là bây giờ số phận của tiện đỉnh cầm mẹ mày.
audios/Độ mixi chửi bậy trong 1 phút.mp3,1,đi tại n định địa địẹ vãi lồn địt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹ vãi lồn dịt con mẹn đít mạ đi vạ đi vẹ vãi lồn địt con mẹ vãi lồn địt mẹ phải lồn dịt con mẹ phải lồn dịt con mẹ phải lồn vãi lồn vãi lồn dịt con mẹ phải lồn dịt con mẹ phải lồ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi nồn nịt mẹ em vãi n
audios/Sena dạy thầy Ba chửi giọng bắc.mp3,1,giống như hẳn kêu senai chữ đụ má gờm thì đụ má gờm nói thử coi đụ má còn lại là điệp mạ bình ngồi bắt lại điệp mạ mà điệp mạ mà điệp mạ có nhiều  mẹ đi là sao.nói làm bạn lên đi cả dòng họ nha mày nha đi cả loa nha mày đi đi cái lồng to ở nhà mày đi cái lồng tóc của nhà mày đi lồng trâu lồng chó lồng bó xi măng nha thế bạn làm nào nha thế vâng em.
audios/Toàn là nụ cườisao chúng mày không nghĩ đến dzú đítđt nhausẽđồi truỵ trong mùa đông giá rét này.mp3,1,cái đầu óc của chúng nó cũng rất là vằn một nụ cười một cái ôm một cái cầm tay hãy lẽo lẽo chỉ nghĩ đến một thế giới văn minh chúng lại không nghĩ đến vú đít đít nhau sách đồi trụy trong mùa đông giá giá này thế có phải tuyệt vời hơn đâu hãy lẽo lẽo chỉ nghĩ đến nụ cười chúng lại không đít nhau chúng lại có chịu đâu.
audios/Anh Núi tát vợ  )).mp3,1,ối dạ cái nghề bán cháo phổi ấy mà làm gì mà điệu chảy nước ra thế nói năng kiểu gì đấy buồn mồm thì nói chơi sợ đách gì nói như thế là không được đâu không thì anh làm gì thách nè làng nước ơi thằng chó nó rủ tôi về đây để nó giết tôi làng nước ơi tôi thì tao giết tao muốn mày làm người mày lại giở trứng thành con chó cái tao cho mày biết đấy ôi em xin hánh em không dám như thế nữa em xin hánh ngoan thì tao để bạn thở tao thở mà năng loàn thì tao cho ra bã nghe chưa chúng mày cướp trắng cơ nghiệp của người ta đấy hả bình tĩnh đi anh em tính sổ với con đĩ thế này còn rể từ cái bông chó má của mày thì ra mày vẫn còn to tử con đi kìa mày mày vục mặt vào nó mày mày tiền sử còn khốn kiếp mày nói cái gì đấy tao nói cái mặt chó má của mày ý tao vừa đi được mấy tháng thì mày đã dứt đi về nhà tao biết mà tao vừa mày nói ướm thế thì mày đã tớn lên cha tiên sử cái tao mày có cầm mẹ cái mồm mày đi không tao đáng cầm đây tao đánh vỡ mồ mày ra rồi tao thay cả cái cậu tổ mày đây thay mày.này chật ơi ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai........................................................ơi ôi bà con ơi bà con cứu vợ em ơi vợ em tui chết rồi ôi bà ơi ôi chời ơi vợ em trộm chồng rồi chị ơi ôi anh ơi cứu vợ em ơi.
audios/Huy đa cấu chửi Dũng Trọc và tất cả ae xã hội trong phim chạm mặt giang hồ.mp3,1,xin chào nhá chào tất cả cộng đồng mạng nhá và chào hai ông anh tôi bác linh ạ và mạo muội xin phép hai ông anh để em chửi mấy thằng xã hội giở nàyạ vợ anh xin trước mắt xin mạo ngụa xin hai ông anh này và các anh của hai anh hai ông hai ông anh ở bắc ninh này em là người bắc ninh em gốc bắc ninh và hai ông anh và tất cả các anh của em nếu mà anh nào là anh của em ở các tỉnh thông cảm cho em để em chửi nịt con mẹ mè mấy con chó nịt mẹ mè xã hội màu xã hội thâm nịt m mẹ mày đầu gấu đại bàng toàn chửi nhau qua mạng đêm đít mẹ mình uất tật mất ngủ đít cái con mẹ nhưng mà cứ lai chim nó chửi nhau toàn môi ăn mõm ăn môi mấy con gấu nhồi bông này thích thì đến tận nhà à chúng mày cũng không phải địt mạnh á nhưng mày làm thể hiện chúng mày là ngôi sao bố mày là sao đây này địt mạnh á chúng mày cứ môi ăn mõm mt ăn mồi nhé bố mày là huy đã cấu này bắc linh chợ nhớn bắc linh đấy số điện thoại nhé không chín bảy chín sáu ba sáu hai hai sáu địt mẹ a mày thằng lào nhé có nhu cầu gặp tao bất kể loại nào nè giang hồ giang hé nè địn mẹ a mày đối đầu giang hồ hay chạm mặt với vần địn mẹ a mày như mày toàn môi mõm ngốm lói mày biết thế nhé mày về nếu nghe chớm thì mạnh áo đất bắc ninh nghe anh em bố mày chán hơn cứt đổ đi nghe chưa mấy con gấu nhồi bông này bố nói các con vợ này mới chửi nhau ít thôi đẳng cấp không bao người tata chửi nhau trên mạng nhớ đi mày a chúng mày đau hết cả đầu đau hết cả sủ bố mày bố mày rối loạn tiền đình thì mất người chúng mày nhớ súng nhớ bố mày toàn bóng tay này đấy nhưng chúng mày nhớ mày am con mõm này môi ăn mõm mõm này bọc vào răng nhớ thôi để con vợ hãy rút nghiệm nhớ con vợ loát lại định mạch ào này hành trình vừa rồi đấy con vợ thiên ngâm lại con vợ định mạch ào ngu như con cu nó loát lại này mình làm mình nghĩ lại là mình làm được đúng chưa đúng con người mình chưa địt mẹ này ta rối nguyên con này này rối bằng sông này nhìn thế này đấy đấy địt mẹ mày nhớ nên các con vợ đuối nghiệp địt mẹẳng cấp nhé không phải làm thế đừng có mõm ăn môi này gãy hết cái răng này này còn không có mõm ăn môi này nhé các con vợ du thích nghiệm con vợ nghe được cái địt mạnh ảm cờ líp này nhé con vợ biết huyên cấu là ai nghe chưa đấy nhá tao chỉ có hai ông anh tao ở tỉnh bắc ninh và các anh em nào là anh tao của tỉnh khác nha thông cảm tao thế thôi còn tất cả các loại địt mày ăn gặp p tao nó đón hết nó bắt hết các loại giống mùa nghe chưa đấy con vợ con ngẫm đi địch mẹ ăn những mày gấu gì gấu như mày bố mày gấu nguyên con này này đấy.
audios/Cận cảnh hai nhóm thanh niên mang dao rựa chém nhau giữa đường.mp3,1,video này xuất hiện trên mạng xã hội chiều ngày tháng ghi lại cảnh hỗn chiến giữa hai nhóm thanh niên ngay giữa đường gần hai mươi thanh niên trên tay cầm dao rựa đứng dàn quần và thách thức nhau. trong lúc cãi vã và hăm hê sông bào chém nhau các thanh niên đã ném gạch đá tới tấp vào đối phương vụ đâm chém xảy ra sau đó đã buộc một băng nhóm phải tháo chạy theo tìm hiểu của phóng viên báo thanh niên vụ việc xảy ra sau đó đã buộc một băng nhễn thế dũng xác nhận có vụ việc trên trưởng công an xã vĩnh tân cho biết vụ việc xảy ra vào khoảng mười sáu giờ chiều ngày bảy tháng một năm hai ngàn mười bảy trên địa bàn ấp một thuộc xã này hiện các lực lượng chức năng đang tiến hành điều tra làm rõ vụ việc.
audios/Hãi hùng 2 nhóm người hỗn chiến lúc nửa đêm ở Đồng Nai.mp3,1,ngày sáu tháng sáu năm hai ngàn không trăm hai mươi hai trên mạng xã hội xuất hiện một đoạn phim ghi lại cảnh hỗn chiến giữa hai nhóm người theo nội dung đoạn phim vào lúc hơn hai mươi ba giờ ngày năm tháng sáu có một nhóm thanh niên đi trên nhiều xe máy kéo đến trước cổng một nhà dân các thanh niên này đã dùng đá ném vào trong dùng dao rửa chặt vào cổng nhà rồi bỏ đi lúc này phía trong nhà dân có hai người đàn ông trong đó có một người cầm theo hung khí cùng một người phụ nữ đi ra hai người đàn ông này đã lượm đá đuổi theo ném vào nhóm thanh niên đến gây hấn nhóm thanh niên gây hấn sau đó đã quay lại cầm hung khí lao vào chém nhau cuộc hỗn chiến diễn ra trong khoảng mười giây sau đó nhóm thanh niên gây hấn bỏ đi chiều sáu tháng sáu công an huyện xuân lộc tỉnh đồng nai xác nhận có vụ hỗn chiến xảy ra trên địa bàn xã xuân hòa hiện đội cảnh sát hình sự công an huyện xuân lộc đang phối hợp với công an xã xuân hoa điều tra làm rõ.đó là sự tấn công cho tội nghiệp thứ hai và đúng tên là đảng cộng.
audios/Khánh Sky Nhắc Nhẹ Dương Minh Tuyền Chuyện Xơii Huấn Hoa Hồng.mp3,1,đưa khánh lên làm huấn luyện viên thì bóng đá việt nam mới vươn tầm thế giới được nói chung là nếu mà nói về trình độ của khánh thắng cái ấy đưa bao nhiêu đội cầu đi juve tút rồi nào thì dư minh tuyền nào thì anh khá bảnh toàn sản xuất khẩu ra trời âu đã đá juến tốt thôi nên cứ yên tâm nhá khánh đăng khai lên đẳng cấp hơn cả chu suyê chu châu dê thế nhá hứa luôn là không những đưa các cầu thủ đi guôn cúp mà còn gọi là đi vê cắp xê luôn nha ông cấp trình độ của páng khánh đẳng cấp mà đơn giản đâu ấy nhở đây là việt nam vô địch luôn luôn trong tim thôi này ái vi tín nhở nói chung là mình là có lòng yêu nước phải không chứ cho ông chu xuê người pháp không ăn thua người pháp bao nhiêu năm tàn phá việt nam thế kỷ mười tám mười chín bây giờ đến thế kỷ hai mốt vẫn còn tàn phá việt nam hai mươi vẫn tàn phá việt nam chán nha không không cho người pháp được phải cho người việt huấn luyện viên người việt ok anh em nhé.
